school,city,status,is_private,needs_review,board_division,district,enrollment,lat,lon,CCB,CCG,GOB,GOG,SOB,TNG,VBG,BKB,BKG,CHC,DAC,SCB,WR,BA,SBG,SOG,TNB,TRB,TRG
Peoria (H.S.),Peoria,public,False,False,0.0,0.0,1287.0,40.72513448275862,-89.64068275862068,2A,,,,2A,,3A,3A,3A,2A,,,2A,3A,,,,3A,3A
Peoria (Manual),Peoria,public,False,False,0.0,0.0,668.0,40.72513448275862,-89.64068275862068,,,,,1A,,2A,2A,2A,,,,1A,,,1A,,2A,2A
Peoria (Notre Dame),Peoria,private,True,False,4.0,12.0,502.0,40.72513448275862,-89.64068275862068,2A,2A,2A,1A,3A,1A,2A,2A,3A,1A,1A,2A,2A,3A,2A,3A,1A,2A,2A
Peoria (P. Christian),Peoria,private,True,False,4.0,12.0,214.0,40.72513448275862,-89.64068275862068,1A,1A,1A,,1A,1A,1A,2A,1A,1A,,1A,,2A,,1A,1A,1A,1A
Peoria (Richwoods),Peoria,public,False,False,0.0,0.0,1629.0,40.72513448275862,-89.64068275862068,3A,3A,3A,2A,2A,2A,4A,4A,4A,,2A,2A,2A,4A,4A,2A,2A,3A,3A
Peoria Heights,Peoria Heights,public,False,False,0.0,0.0,208.0,40.7473,-89.574,,,1A,,,,1A,1A,1A,,,1A,1A,1A,1A,,,1A,1A
Peotone,Peotone,public,False,False,0.0,0.0,410.0,41.3361,-87.7897,1A,1A,1A,,1A,,2A,2A,2A,,,1A,1A,2A,2A,1A,,1A,1A
Peru (St. Bede),Peru,private,True,False,4.0,11.0,271.0,41.333,-89.1265,1A,1A,1A,1A,1A,1A,1A,1A,2A,,,1A,1A,2A,2A,,1A,1A,1A
Petersburg (PORTA),Petersburg,public,False,False,0.0,0.0,276.0,40.0117,-89.8482,1A,1A,1A,1A,,,2A,2A,2A,,,1A,1A,2A,2A,,,1A,1A
Piasa (Southwestern),Piasa,public,False,False,0.0,0.0,365.0,39.1159,-90.1237,1A,1A,1A,,1A,,2A,2A,2A,,,1A,1A,2A,2A,1A,,1A,1A
Pinckneyville,Pinckneyville,public,False,False,0.0,0.0,378.0,38.0903,-89.3858,1A,1A,1A,1A,1A,,2A,2A,2A,1A,1A,,1A,2A,2A,1A,,1A,1A
Pittsfield,Pittsfield,public,False,False,0.0,0.0,367.0,39.6013,-90.8073,1A,1A,1A,1A,,,2A,2A,2A,,,1A,1A,2A,2A,,,1A,1A
Plainfield (Central),Plainfield,public,False,False,0.0,0.0,1767.0,41.606966666666665,-88.21249999999999,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,2A,2A,3A,4A,4A,2A,2A,3A,3A
Plainfield (East),Plainfield,public,False,False,0.0,0.0,1772.0,41.606966666666665,-88.21249999999999,3A,3A,3A,2A,3A,2A,4A,4A,4A,C,2A,2A,3A,4A,4A,2A,2A,3A,3A
Plainfield (North),Plainfield,public,False,False,0.0,0.0,2343.0,41.606966666666665,-88.21249999999999,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,3A,2A,3A,4A,4A,3A,2A,3A,3A
Plainfield (South),Plainfield,public,False,False,0.0,0.0,2229.0,41.606966666666665,-88.21249999999999,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,3A,2A,3A,4A,4A,3A,2A,3A,3A
Plano,Plano,public,False,False,0.0,0.0,747.0,41.667,-88.5384,2A,2A,2A,1A,2A,,3A,3A,3A,2A,,2A,1A,3A,3A,1A,,2A,2A
Pleasant Hill,Pleasant Hill,public,False,False,0.0,0.0,96.0,39.4467,-90.877,1A,1A,,,,,1A,1A,1A,,,,,1A,1A,,,1A,1A
Pleasant Plains,Pleasant Plains,public,False,False,0.0,0.0,409.0,39.8331,-89.8686,1A,1A,1A,1A,1A,,2A,2A,2A,,,1A,1A,2A,2A,1A,,1A,1A
Polo,Polo,public,False,False,0.0,0.0,180.0,41.989,-89.5984,,,1A,,,,1A,1A,1A,,,1A,1A,1A,1A,,,,
Pontiac,Pontiac,public,False,False,0.0,0.0,639.0,40.8764,-88.6328,2A,2A,2A,1A,,1A,2A,2A,2A,1A,,2A,1A,2A,2A,,1A,2A,2A
Poplar Grove (North Boone),Poplar Grove,public,False,False,0.0,0.0,484.0,42.3594,-88.8428,1A,,1A,1A,1A,,2A,2A,2A,1A,,2A,1A,2A,2A,1A,,2A,2A
Port Byron (Riverdale),Port Byron,public,False,False,0.0,0.0,320.0,41.6013,-90.3263,1A,1A,1A,1A,1A,,2A,2A,2A,,,1A,1A,2A,2A,,,1A,1A
Princeton,Princeton,public,False,False,0.0,0.0,472.0,41.3629,-89.427,1A,1A,1A,1A,1A,1A,2A,2A,2A,,,2A,1A,2A,2A,1A,1A,2A,2A
Princeville,Princeville,public,False,False,0.0,0.0,185.0,40.9093,-89.7723,1A,1A,1A,1A,,,1A,1A,1A,,,1A,,1A,1A,,,1A,1A
Prophetstown,Prophetstown,public,False,False,0.0,0.0,198.0,41.6312,-89.9467,1A,1A,,,,,2A,2A,,,,,,2A,2A,,,,
Quincy (Notre Dame),Quincy,private,True,False,6.0,16.0,399.0,39.94213333333334,-91.36293333333333,2A,2A,2A,1A,1A,1A,2A,2A,3A,,1A,2A,1A,2A,2A,1A,1A,,
Quincy (Sr.),Quincy,public,False,False,0.0,0.0,1743.0,39.94213333333334,-91.36293333333333,3A,3A,3A,2A,3A,2A,4A,4A,4A,,2A,2A,3A,4A,4A,2A,2A,3A,3A
Ramsey,Ramsey,public,False,False,0.0,0.0,96.0,39.1445,-89.1087,,,1A,1A,,,1A,1A,1A,,,1A,,1A,1A,,,,
Rantoul,Rantoul,public,False,False,0.0,0.0,880.0,40.3107,-88.1462,2A,2A,2A,2A,2A,,3A,3A,3A,2A,1A,2A,2A,3A,3A,2A,,2A,2A
Raymond (Lincolnwood),Raymond,public,False,False,0.0,0.0,155.0,39.3106,-89.5851,,,1A,1A,1A,,1A,1A,1A,,,1A,,1A,1A,,,,
Red Bud,Red Bud,public,False,False,0.0,0.0,365.0,38.1907,-89.9884,1A,1A,1A,1A,,,2A,2A,2A,1A,,,1A,2A,2A,,,1A,1A
Richmond (R.-Burton),Richmond,public,False,False,0.0,0.0,515.0,42.4669,-88.29,1A,1A,2A,1A,1A,,2A,2A,2A,1A,,2A,1A,2A,2A,1A,,2A,2A
Richton Park (Rich Township),Richton Park,public,False,False,0.0,0.0,2286.0,41.4819,-87.7238,3A,3A,3A,2A,3A,2A,4A,4A,4A,C,3A,2A,3A,4A,4A,3A,2A,3A,3A
Richton Park (Southland College Prep Charter),Richton Park,public_nonboundaried,False,False,0.0,0.0,576.0,41.4819,-87.7238,2A,2A,2A,2A,,1A,3A,3A,3A,2A,1A,,,,,,,2A,2A
River Forest (Trinity),River Forest,private,True,False,2.0,4.0,628.0,41.8951,-87.8159,,2A,,1A,,1A,2A,,3A,2A,,,,,2A,1A,,,2A
Riverside (R.-Brookfield),Riverside,public,False,False,0.0,0.0,1639.0,41.8379,-87.8213,3A,3A,3A,2A,2A,2A,4A,4A,4A,C,,2A,2A,4A,4A,2A,2A,3A,3A
Riverton,Riverton,public,False,False,0.0,0.0,343.0,39.8663,-89.5087,,,,,1A,,2A,2A,2A,,,1A,1A,2A,2A,1A,,1A,1A
Roanoke (R.-Benson),Roanoke,public,False,False,0.0,0.0,142.0,40.7956,-89.2093,,,1A,,1A,,1A,1A,1A,,,1A,,1A,,,,,
Robinson,Robinson,public,False,False,0.0,0.0,439.0,39.007,-87.7484,1A,1A,1A,1A,1A,1A,2A,2A,2A,1A,,1A,1A,2A,2A,,1A,1A,1A
Rochelle,Rochelle,public,False,False,0.0,0.0,824.0,41.9282,-89.071,2A,2A,2A,,2A,1A,3A,3A,3A,2A,,2A,2A,3A,3A,2A,1A,2A,2A
Rochester,Rochester,public,False,False,0.0,0.0,682.0,39.7182,-89.5649,2A,2A,2A,1A,1A,1A,2A,2A,2A,,,2A,1A,2A,2A,1A,1A,2A,2A
Rock Falls,Rock Falls,public,False,False,0.0,0.0,500.0,41.7665,-89.6925,1A,1A,1A,,,,2A,2A,2A,,,2A,1A,2A,2A,,,2A,2A
Rock Island (Alleman),Rock Island,private,True,False,4.0,11.0,285.0,41.52216666666667,-90.57413333333334,1A,1A,1A,,1A,1A,1A,1A,2A,,,,1A,2A,2A,1A,1A,1A,1A
Rock Island (H.S.),Rock Island,public,False,False,0.0,0.0,1700.0,41.52216666666667,-90.57413333333334,3A,3A,3A,2A,2A,2A,4A,4A,4A,3A,,,2A,4A,4A,2A,2A,3A,3A
Rockford (Auburn),Rockford,public,False,False,0.0,0.0,1747.0,42.28476428571429,-89.08966428571429,3A,3A,3A,,3A,2A,4A,4A,4A,3A,2A,2A,3A,4A,4A,2A,2A,3A,3A
Rockford (Boylan Catholic),Rockford,private,True,False,4.0,10.0,558.0,42.28476428571429,-89.08966428571429,1A,2A,2A,2A,2A,1A,2A,3A,3A,1A,1A,2A,1A,3A,2A,2A,1A,2A,2A
Rockford (Christian Life),Rockford,private,True,False,4.0,10.0,114.0,42.28476428571429,-89.08966428571429,1A,1A,1A,,,,1A,1A,1A,,,1A,,,,,,,
Rockford (East),Rockford,public,False,False,0.0,0.0,1597.0,42.28476428571429,-89.08966428571429,3A,3A,3A,,2A,2A,3A,3A,3A,C,2A,,2A,3A,,2A,2A,3A,3A
Rockford (Guilford),Rockford,public,False,False,0.0,0.0,2026.0,42.28476428571429,-89.08966428571429,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,3A,2A,3A,4A,4A,3A,2A,3A,3A
Rockford (Jefferson),Rockford,public,False,False,0.0,0.0,2020.0,42.28476428571429,-89.08966428571429,3A,3A,3A,,3A,2A,4A,4A,4A,C,3A,,3A,4A,4A,3A,2A,3A,3A
Rockford (Keith Country Day),Rockford,private,True,False,4.0,10.0,50.0,42.28476428571429,-89.08966428571429,,,,,,,,,,,,1A,,,,,,,
Rockford (Lutheran),Rockford,private,True,False,4.0,10.0,274.0,42.28476428571429,-89.08966428571429,1A,1A,1A,1A,1A,1A,2A,2A,2A,,,2A,,2A,2A,1A,1A,2A,2A
Rockford (Our Lady of the Sacred Heart),Rockford,private,True,False,4.0,10.0,34.0,42.28476428571429,-89.08966428571429,1A,1A,,,,,,1A,1A,,,,,,,,,,
Rockford (R. Christian),Rockford,private,True,False,4.0,10.0,200.0,42.28476428571429,-89.08966428571429,1A,1A,1A,1A,1A,1A,2A,2A,1A,,,,,2A,,1A,1A,1A,1A
Rockton (Hononegah),Rockton,public,False,False,0.0,0.0,1786.0,42.4544,-89.0887,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,,2A,3A,4A,4A,2A,2A,3A,3A
Rolling Meadows,Rolling Meadows,public,False,False,0.0,0.0,1793.0,42.073,-88.0191,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,2A,2A,3A,4A,4A,2A,2A,3A,3A
Romeoville (H.S.),Romeoville,public,False,False,0.0,0.0,1798.0,41.6404,-88.0696,3A,3A,3A,2A,3A,2A,4A,4A,4A,C,,2A,3A,4A,4A,2A,2A,3A,3A
Roselle (Lake Park),Roselle,public,False,False,0.0,0.0,2484.0,41.9798,-88.0857,3A,3A,3A,2A,3A,2A,4A,4A,4A,C,3A,2A,3A,4A,4A,3A,2A,3A,3A
Round Lake,Round Lake,public,False,False,0.0,0.0,2112.0,42.3668,-88.0888,3A,3A,,,3A,2A,4A,4A,4A,3A,,2A,3A,4A,4A,3A,2A,3A,3A
Roxana,Roxana,public,False,False,0.0,0.0,492.0,38.8482,-90.0798,1A,1A,1A,1A,1A,1A,2A,2A,2A,1A,1A,,1A,2A,2A,1A,1A,2A,2A
Rushville (R.-Industry),Rushville,public,False,False,0.0,0.0,288.0,40.1133,-90.5432,1A,1A,1A,1A,,,1A,1A,1A,,,1A,,1A,1A,,,1A,1A
Salem,Salem,public,False,False,0.0,0.0,691.0,38.6264,-88.9481,2A,2A,2A,1A,1A,1A,2A,2A,2A,1A,,2A,1A,2A,2A,1A,1A,2A,2A
Sandoval,Sandoval,public,False,False,0.0,0.0,126.0,38.6131,-89.114,,,1A,1A,,,1A,1A,1A,,,1A,,,,,,,
Sandwich,Sandwich,public,False,False,0.0,0.0,544.0,41.6353,-88.6393,1A,1A,2A,1A,1A,,2A,2A,2A,1A,,2A,1A,2A,2A,1A,,2A,2A
Scales Mound,Scales Mound,public,False,False,0.0,0.0,68.0,42.4715,-90.258,,,,,,,1A,1A,,,,1A,,,1A,,,,
Schaumburg (H.S.),Schaumburg,public,False,False,0.0,0.0,2324.0,42.043,-88.08671428571428,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,3A,,3A,4A,4A,3A,2A,3A,3A
Schaumburg (S. Christian),Schaumburg,private,True,False,2.0,4.0,148.0,42.043,-88.08671428571428,1A,,1A,,1A,,1A,1A,1A,,,,1A,1A,,1A,,1A,1A
Seneca,Seneca,public,False,False,0.0,0.0,372.0,41.3152,-88.61,1A,1A,1A,1A,,,2A,2A,2A,,,1A,1A,2A,2A,,,1A,1A
Serena,Serena,public,False,False,0.0,0.0,156.0,41.4995,-88.7509,,,1A,,1A,,1A,1A,1A,,,,,1A,1A,1A,,1A,1A
Sesser (S.-Valier),Sesser,public,False,False,0.0,0.0,171.0,38.0894,-89.0574,,,,,,,1A,1A,1A,1A,,1A,,,,,,1A,1A
Shabbona (Indian Creek),Shabbona,public,False,False,0.0,0.0,260.0,41.7638,-88.8752,,,1A,,1A,,1A,1A,1A,,,1A,,1A,1A,1A,,1A,1A
Shelbyville,Shelbyville,public,False,False,0.0,0.0,343.0,39.458,-88.8058,1A,1A,1A,1A,,1A,2A,2A,2A,1A,,,1A,2A,2A,,1A,1A,1A
Sherrard,Sherrard,public,False,False,0.0,0.0,441.0,41.3027,-90.4939,1A,1A,1A,1A,,,2A,2A,2A,1A,,1A,1A,2A,2A,,,1A,1A
Skokie (Ida Crown),Skokie,private,True,False,2.0,4.0,235.0,42.03535,-87.74345,1A,1A,,,1A,,,1A,2A,,,,1A,2A,,1A,,,
Skokie (Niles North),Skokie,public,False,False,0.0,0.0,1908.0,42.03535,-87.74345,3A,3A,3A,2A,3A,2A,4A,4A,4A,C,2A,,3A,4A,4A,3A,2A,3A,3A
Skokie (Niles West),Skokie,public,False,False,0.0,0.0,2550.0,42.03535,-87.74345,3A,3A,3A,2A,3A,2A,4A,4A,4A,C,3A,2A,3A,4A,4A,3A,2A,3A,3A
Skokie (Yeshiva),Skokie,private,True,False,2.0,4.0,202.0,42.03535,-87.74345,,,,,1A,,,1A,,,,,,2A,,,,,
Somonauk,Somonauk,public,False,False,0.0,0.0,236.0,41.6383,-88.6816,1A,1A,1A,1A,1A,,1A,1A,2A,1A,,,1A,1A,2A,,,1A,1A
South Beloit,South Beloit,public,False,False,0.0,0.0,238.0,42.4837,-89.0298,,,,,1A,,1A,1A,1A,,,1A,,1A,1A,,,1A,1A
South Elgin,South Elgin,public,False,False,0.0,0.0,2711.0,41.9969,-88.2986,3A,3A,3A,2A,3A,2A,4A,4A,4A,C,3A,,3A,4A,4A,3A,2A,3A,3A
South Holland (Thornwood),South Holland,public,False,False,0.0,0.0,1691.0,41.5979,-87.5938,3A,3A,,,,2A,4A,4A,4A,C,2A,2A,,4A,4A,3A,2A,3A,3A
South Holland (Unity Christian Academy),South Holland,private,True,False,3.0,8.0,114.0,41.5979,-87.5938,,,,,1A,,1A,1A,1A,,,,,,,,,1A,1A
Sparta,Sparta,public,False,False,0.0,0.0,293.0,38.1318,-89.7035,1A,1A,1A,1A,,,1A,1A,1A,,,1A,1A,1A,1A,,,1A,1A
Spring Valley (Hall),Spring Valley,public,False,False,0.0,0.0,382.0,41.3279,-89.2042,1A,,1A,,,,2A,2A,2A,,,,,2A,2A,,,1A,1A
Springfield (Calvary),Springfield,private,True,False,6.0,18.0,52.0,39.77701052631579,-89.62061842105263,,,,,,,1A,1A,,,,,,,,,,,
Springfield (H.S.),Springfield,public,False,False,0.0,0.0,1267.0,39.77701052631579,-89.62061842105263,2A,2A,2A,2A,2A,1A,3A,3A,3A,,,2A,2A,3A,4A,2A,1A,3A,3A
Springfield (Lanphier),Springfield,public,False,False,0.0,0.0,1050.0,39.77701052631579,-89.62061842105263,2A,2A,3A,,,,3A,3A,3A,,,2A,2A,3A,,,,2A,2A
Springfield (Lutheran),Springfield,private,True,False,6.0,18.0,105.0,39.77701052631579,-89.62061842105263,1A,1A,1A,,1A,,1A,1A,,,,1A,,1A,,1A,,1A,1A
Springfield (Sacred Heart-Griffin),Springfield,private,True,False,6.0,18.0,550.0,39.77701052631579,-89.62061842105263,1A,2A,2A,2A,2A,1A,3A,3A,2A,,,2A,1A,3A,2A,2A,1A,2A,2A
Springfield (Southeast),Springfield,public,False,False,0.0,0.0,1160.0,39.77701052631579,-89.62061842105263,2A,2A,,,3A,,3A,3A,3A,,,2A,2A,3A,,3A,,2A,2A
St. Anne,Saint Anne,public,False,False,0.0,0.0,196.0,41.0487,-87.6564,,,1A,1A,1A,,1A,1A,,,,1A,,1A,1A,,,1A,1A
St. Charles (East),Saint Charles,public,False,False,0.0,0.0,1865.0,41.9336,-88.3494,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,2A,,3A,4A,4A,3A,2A,3A,3A
St. Charles (North),Saint Charles,public,False,False,0.0,0.0,1851.0,41.9336,-88.3494,3A,3A,3A,2A,3A,2A,4A,4A,4A,C,2A,2A,3A,4A,4A,3A,2A,3A,3A
St. Elmo,Saint Elmo,public,False,False,0.0,0.0,105.0,39.0315,-88.8552,,,,,,,1A,1A,,,,,,,1A,,,,
St. Joseph (S.J.-Ogden),Saint Joseph,public,False,False,0.0,0.0,453.0,40.1207,-88.0472,1A,1A,1A,,1A,1A,2A,2A,2A,1A,1A,2A,1A,2A,2A,,,2A,2A
Stanford (Olympia),Stanford,public,False,False,0.0,0.0,491.0,40.4376,-89.2164,1A,1A,1A,1A,1A,,2A,2A,2A,,,2A,1A,2A,2A,1A,,2A,2A
Staunton,Staunton,public,False,False,0.0,0.0,369.0,39.0135,-89.7857,1A,1A,1A,1A,1A,,2A,2A,2A,,,1A,,2A,2A,1A,,1A,1A
Steeleville,Steeleville,public,False,False,0.0,0.0,144.0,38.0057,-89.6665,1A,,1A,1A,,,1A,1A,1A,,,,,1A,1A,,,1A,1A
Sterling (H.S.),Sterling,public,False,False,0.0,0.0,944.0,41.8055,-89.7054,2A,2A,2A,2A,2A,1A,3A,3A,3A,2A,1A,2A,2A,3A,3A,2A,1A,2A,2A
Sterling (Newman Central Catholic),Sterling,private,True,False,4.0,11.0,183.0,41.8055,-89.7054,,,1A,1A,,1A,2A,1A,1A,,,1A,1A,3A,1A,,1A,1A,1A
Stillman Valley,Stillman Valley,public,False,False,0.0,0.0,419.0,42.1183,-89.1898,1A,1A,1A,1A,1A,,2A,2A,2A,1A,,1A,1A,2A,2A,1A,,1A,1A
Stockton,Stockton,public,False,False,0.0,0.0,165.0,42.3492,-90.0202,1A,1A,1A,,,,1A,1A,1A,,,1A,,,1A,,,1A,1A
Strasburg (Stewardson-S.),Strasburg,public,False,False,0.0,0.0,140.0,39.3641,-88.6279,1A,1A,,,,,,1A,1A,,,1A,,1A,,,,1A,1A
Streamwood,Streamwood,public,False,False,0.0,0.0,1598.0,42.0225,-88.169,3A,3A,3A,,2A,2A,3A,3A,3A,2A,2A,,2A,3A,3A,2A,2A,3A,3A
Streator (Twp.),Streator,public,False,False,0.0,0.0,742.0,41.1225,-88.8307,2A,2A,2A,,2A,1A,3A,3A,3A,,1A,2A,2A,3A,3A,2A,1A,2A,2A
Streator (Woodland),Streator,public,False,False,0.0,0.0,133.0,41.1225,-88.8307,,,1A,,,,1A,1A,,,,,,1A,1A,,,,
Sullivan,Sullivan,public,False,False,0.0,0.0,310.0,39.5934,-88.6038,1A,1A,1A,1A,,,2A,2A,2A,,,1A,,2A,2A,,,1A,1A
Summit (Argo),Summit Argo,public,False,False,0.0,0.0,1740.0,41.7797,-87.8269,3A,3A,3A,,3A,2A,4A,4A,4A,3A,2A,2A,3A,4A,4A,2A,2A,3A,3A
Sycamore (H.S.),Sycamore,public,False,False,0.0,0.0,1121.0,41.9911,-88.6928,2A,2A,2A,2A,2A,1A,3A,3A,3A,2A,2A,,2A,3A,3A,2A,1A,2A,2A
Tamms (Egyptian),Tamms,public,False,False,0.0,0.0,82.0,37.2345,-89.2763,,,1A,,,,1A,1A,1A,,,,,,1A,,,1A,1A
Taylor Ridge (Rockridge),Taylor Ridge,public,False,False,0.0,0.0,322.0,41.3828,-90.734,1A,1A,1A,1A,,,2A,2A,2A,1A,1A,1A,1A,2A,2A,,,1A,1A
Taylorville,Taylorville,public,False,False,0.0,0.0,726.0,39.5489,-89.2945,2A,2A,2A,1A,2A,1A,3A,3A,3A,,,2A,1A,3A,3A,1A,1A,2A,2A
Teutopolis,Teutopolis,public,False,False,0.0,0.0,337.0,39.132,-88.4767,1A,1A,1A,1A,1A,1A,2A,2A,2A,,,1A,,2A,2A,,1A,1A,1A
Thompsonville,Thompsonville,public,False,False,0.0,0.0,89.0,37.8804,-88.7684,1A,,,,,,1A,1A,,,,1A,,,,,,,
Tinley Park (Andrew),Tinley Park,public,False,False,0.0,0.0,2201.0,41.57305,-87.81960000000001,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,3A,2A,3A,4A,4A,3A,2A,3A,3A
Tinley Park (H.S.),Tinley Park,public,False,False,0.0,0.0,981.0,41.57305,-87.81960000000001,2A,2A,2A,2A,2A,1A,3A,3A,3A,2A,1A,2A,2A,3A,3A,2A,1A,2A,2A
Toledo (Cumberland),Toledo,public,False,False,0.0,0.0,292.0,39.2772,-88.2468,1A,,,,,,1A,1A,1A,,,1A,1A,1A,1A,,,1A,1A
Tolono (Unity),Tolono,public,False,False,0.0,0.0,470.0,39.985,-88.2596,1A,1A,1A,1A,1A,,2A,2A,2A,,1A,2A,1A,2A,2A,,,2A,2A
Toulon (Stark County),Toulon,public,False,False,0.0,0.0,221.0,41.1009,-89.8606,1A,1A,1A,1A,,,1A,1A,1A,,,,,1A,1A,,,1A,1A
Tremont,Tremont,public,False,False,0.0,0.0,285.0,40.5053,-89.4833,1A,1A,1A,,,,1A,1A,1A,,,1A,1A,1A,1A,,,1A,1A
Trenton (Wesclin),Trenton,public,False,False,0.0,0.0,339.0,38.6191,-89.6447,1A,1A,1A,,1A,,2A,2A,2A,1A,1A,1A,,2A,2A,1A,,1A,1A
Troy (Triad),Troy,public,False,False,0.0,0.0,1210.0,38.7243,-89.8708,2A,2A,2A,2A,2A,1A,3A,3A,3A,2A,2A,2A,2A,3A,3A,2A,1A,2A,2A
Tuscola,Tuscola,public,False,False,0.0,0.0,289.0,39.7995,-88.2816,1A,1A,1A,,,,1A,1A,1A,,,1A,,1A,1A,,,1A,1A
Ullin (Century),Ullin,public,False,False,0.0,0.0,82.0,37.277,-89.1834,,,,,,,1A,1A,1A,,,1A,,1A,1A,,,,
Urbana (H.S.),Urbana,public,False,False,0.0,0.0,1132.0,40.096666666666664,-88.19913333333334,2A,2A,2A,,2A,1A,3A,3A,3A,,,,2A,3A,3A,2A,1A,2A,2A
Urbana (University),Urbana,public_nonboundaried,False,False,0.0,0.0,252.0,40.096666666666664,-88.19913333333334,1A,1A,,,1A,,1A,1A,1A,,,2A,,,,1A,1A,1A,1A
Valmeyer,Valmeyer,public,False,False,0.0,0.0,103.0,38.2805,-90.3122,,,,,1A,,1A,1A,1A,,,,,1A,1A,,,1A,1A
Vandalia,Vandalia,public,False,False,0.0,0.0,402.0,38.9439,-89.1041,,,1A,1A,1A,1A,2A,2A,2A,1A,,1A,1A,2A,2A,,,1A,1A
Varna (Midland),Varna,public,False,False,0.0,0.0,200.0,41.0327,-89.2483,,,1A,,,,1A,1A,1A,,,1A,,1A,1A,,,,
Vernon Hills,Vernon Hills,public,False,False,0.0,0.0,1387.0,42.2288,-87.9719,2A,2A,2A,2A,2A,1A,3A,3A,3A,2A,2A,2A,2A,3A,3A,2A,1A,3A,3A
Vienna,Vienna,public,False,False,0.0,0.0,371.0,37.4205,-88.8879,1A,1A,1A,,1A,,2A,2A,2A,1A,,1A,,2A,2A,1A,,1A,1A
Villa Grove,Villa Grove,public,False,False,0.0,0.0,189.0,39.8687,-88.1616,1A,,1A,1A,,,1A,1A,1A,,1A,1A,,1A,1A,,,1A,1A
Villa Park (Islamic Foundation),Villa Park,private,True,False,3.0,7.0,105.0,41.8799,-87.9782,,,,,1A,,1A,1A,1A,,,,,,,1A,,,
Villa Park (Willowbrook),Villa Park,public,False,False,0.0,0.0,1902.0,41.8799,-87.9782,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,2A,2A,3A,4A,4A,3A,2A,3A,3A
Virden (North Mac),Virden,public,False,False,0.0,0.0,344.0,39.5064,-89.7783,,1A,1A,1A,1A,,2A,2A,2A,,,1A,1A,2A,2A,1A,,1A,1A
Virginia,Virginia,public,False,False,0.0,0.0,78.0,39.9512,-90.2123,1A,1A,1A,,,,,,,,,1A,,,,,,1A,1A
Waltonville,Waltonville,public,False,False,0.0,0.0,95.0,38.2089,-89.039,,,1A,1A,,,,1A,,,,,,1A,1A,,,,
Warren,Warren,public,False,False,0.0,0.0,105.0,42.489,-89.986,,,1A,,,,1A,1A,1A,,,1A,,1A,,,,,
Warrensburg (W.-Latham),Warrensburg,public,False,False,0.0,0.0,328.0,39.9454,-89.0741,,,,,1A,,2A,2A,2A,1A,,1A,1A,2A,2A,1A,,1A,1A
Warsaw,Warsaw,public,False,False,0.0,0.0,178.0,40.3544,-91.4348,,,,,,,2A,2A,,,,1A,1A,,2A,,,1A,1A
Washburn (Lowpoint-W.),Washburn,public,False,False,0.0,0.0,68.0,40.9141,-89.283,1A,1A,,,,,1A,1A,1A,,,1A,,,1A,,,1A,1A
Washington,Washington,public,False,False,0.0,0.0,1383.0,40.7034,-89.4194,2A,2A,2A,2A,2A,1A,3A,3A,3A,2A,2A,2A,2A,3A,3A,2A,1A,3A,3A
Waterloo (Gibault Catholic),Waterloo,private,True,False,7.0,19.0,172.0,38.3223,-90.1478,,1A,1A,1A,1A,1A,1A,1A,1A,,,1A,,1A,1A,1A,,1A,1A
Waterloo (H.S.),Waterloo,public,False,False,0.0,0.0,845.0,38.3223,-90.1478,2A,2A,2A,1A,2A,1A,3A,3A,3A,2A,,2A,2A,3A,3A,2A,1A,2A,2A
Watseka,Watseka,public,False,False,0.0,0.0,282.0,40.7734,-87.7309,1A,,1A,1A,1A,1A,1A,1A,2A,,,1A,,1A,1A,,,1A,1A
Wauconda,Wauconda,public,False,False,0.0,0.0,1396.0,42.2636,-88.1333,2A,2A,2A,2A,2A,1A,3A,3A,3A,2A,2A,2A,2A,3A,3A,2A,1A,3A,3A
Waukegan (Cristo Rey St. Martin),Waukegan,private,True,False,2.0,6.0,428.0,42.372233333333334,-87.8551,,,,,2A,,3A,3A,3A,,,,,,,1A,,,
Waukegan (H.S.),Waukegan,public,False,False,0.0,0.0,4119.0,42.372233333333334,-87.8551,3A,3A,3A,,3A,2A,4A,4A,4A,3A,3A,2A,3A,4A,4A,3A,,3A,3A
Waverly,Waverly,public,False,False,0.0,0.0,96.0,39.587,-89.9449,,,1A,1A,,,,,2A,,,1A,,,,,,1A,1A
Wayne City,Wayne City,public,False,False,0.0,0.0,134.0,38.3328,-88.5833,,,1A,,,,1A,1A,1A,,,1A,,1A,1A,,,,
West Chicago (H.S.),West Chicago,public,False,False,0.0,0.0,1973.0,41.8867,-88.2031,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,3A,2A,3A,4A,4A,3A,2A,3A,3A
