school,city,status,is_private,needs_review,board_division,district,enrollment,lat,lon,CCB,CCG,GOB,GOG,SOB,TNG,VBG,BKB,BKG,CHC,DAC,SCB,WR,BA,SBG,SOG,TNB,TRB,TRG
Marissa,Marissa,public,False,False,0.0,0.0,160.0,38.2455,-89.7501,1A,1A,1A,1A,,,1A,1A,1A,,,1A,,1A,1A,,,1A,1A
Maroa (M.-Forsyth),Maroa,public,False,False,0.0,0.0,333.0,40.0342,-88.9578,1A,1A,2A,,,1A,2A,2A,2A,1A,1A,1A,,2A,2A,,1A,1A,1A
Marshall,Marshall,public,False,False,0.0,0.0,346.0,39.422,-87.6923,1A,1A,1A,1A,,,2A,2A,2A,,,1A,1A,2A,2A,,,1A,1A
Martinsville,Martinsville,public,False,False,0.0,0.0,83.0,39.3174,-87.8707,,,,,,,1A,1A,1A,,,,,1A,1A,,,,
Maryville (M. Christian),Maryville,private,True,False,7.0,19.0,164.0,38.7138,-89.9658,,,1A,,1A,,1A,1A,1A,,,,,1A,1A,1A,,1A,
Mascoutah,Mascoutah,public,False,False,0.0,0.0,1231.0,38.48225,-89.78885,2A,2A,2A,2A,2A,1A,3A,3A,3A,2A,2A,2A,2A,3A,3A,2A,1A,2A,2A
Mason City (Illini Central),Mason City,public,False,False,0.0,0.0,171.0,40.2023,-89.6982,,,1A,,,,1A,1A,1A,,,1A,,1A,,,,1A,1A
Mattoon,Mattoon,public,False,False,0.0,0.0,858.0,39.4802,-88.3762,2A,2A,2A,1A,2A,1A,3A,3A,3A,,1A,2A,2A,3A,3A,2A,1A,2A,2A
Maywood (Proviso East),Maywood,public,False,False,0.0,0.0,2006.0,41.8793,-87.8433,3A,3A,3A,,3A,2A,4A,4A,4A,3A,3A,,3A,4A,4A,3A,2A,3A,3A
McHenry,Mchenry,public,False,False,0.0,0.0,2187.0,42.34265,-88.26245,3A,3A,3A,2A,3A,2A,4A,4A,4A,C,3A,2A,3A,4A,4A,3A,2A,3A,3A
McLeansboro (Hamilton County),Mc Leansboro,public,False,False,0.0,0.0,307.0,38.1251,-88.4835,1A,1A,1A,1A,,,2A,2A,2A,,,1A,,2A,2A,,,1A,1A
Melrose Park (Walther Christian),Melrose Park,private,True,False,3.0,7.0,260.0,41.90743333333333,-87.86906666666665,1A,1A,,,,,1A,1A,1A,,,,1A,1A,1A,1A,,1A,1A
Mendon (Unity),Mendon,public,False,False,0.0,0.0,175.0,40.0857,-91.2899,,,1A,,,,1A,1A,1A,,,1A,,1A,1A,,,1A,1A
Mendota,Mendota,public,False,False,0.0,0.0,485.0,41.5443,-89.1083,1A,1A,1A,1A,1A,1A,2A,2A,2A,,,2A,1A,2A,2A,1A,1A,2A,2A
Meredosia (M.-Chambersburg),Meredosia,public,False,False,,,48.0,39.8173,-90.5339,,,,,,,,,,,,,,,,,,1A,1A
Metamora,Metamora,public,False,False,0.0,0.0,876.0,40.7844,-89.4309,2A,2A,2A,1A,2A,1A,3A,3A,3A,,,2A,2A,3A,3A,2A,1A,2A,2A
Metropolis (Massac County),Metropolis,public,False,False,0.0,0.0,498.0,37.1753,-88.7252,1A,1A,1A,1A,1A,,2A,2A,2A,,,2A,,2A,2A,1A,,2A,2A
Midlothian (Bremen),Midlothian,public,False,False,0.0,0.0,1412.0,41.635,-87.7362,2A,2A,2A,,2A,1A,3A,3A,3A,2A,2A,2A,2A,3A,3A,2A,1A,3A,3A
Milford,Milford,public,False,False,0.0,0.0,138.0,40.6293,-87.6853,,,1A,,,,1A,1A,,,,1A,,1A,1A,,,1A,1A
Milledgeville,Milledgeville,public,False,False,0.0,0.0,95.0,41.9674,-89.7801,,,,,,,1A,1A,1A,,,1A,,1A,1A,,,1A,1A
Minonk (Fieldcrest),Minonk,public,False,False,0.0,0.0,244.0,40.8985,-89.0349,1A,1A,1A,1A,,,1A,1A,1A,,1A,1A,,1A,1A,,,1A,1A
Minooka,Minooka,public,False,False,0.0,0.0,2851.0,41.4615,-88.2786,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,3A,2A,3A,4A,4A,3A,2A,3A,3A
Moline (H.S.),Moline,public,False,False,0.0,0.0,2190.0,41.49865,-90.50655,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,,2A,3A,4A,4A,3A,2A,3A,3A
Moline (Quad Cities Christian School),Moline,private,True,False,,,86.0,41.49865,-90.50655,,,,,,,,,,,,,1A,,,,,,
Momence,Momence,public,False,False,0.0,0.0,298.0,41.1593,-87.6575,,,1A,,1A,,1A,1A,1A,,,1A,,1A,1A,1A,,1A,1A
Monmouth (M.-Roseville),Monmouth,public,False,False,0.0,0.0,482.0,40.9107,-90.6448,1A,1A,1A,,1A,,2A,2A,2A,1A,,2A,1A,2A,2A,1A,,2A,2A
Monmouth (United),Monmouth,public,False,False,0.0,0.0,291.0,40.9107,-90.6448,1A,,1A,1A,,,1A,1A,1A,,,1A,1A,1A,1A,,,1A,1A
Monticello,Monticello,public,False,False,0.0,0.0,484.0,40.0263,-88.5686,1A,1A,1A,1A,1A,,2A,2A,2A,,,2A,1A,2A,2A,1A,,2A,2A
Mooseheart,Mooseheart,private,True,False,2.0,5.0,37.0,41.8241,-88.3315,,,,,1A,,1A,1A,1A,,,,,,,,,1A,1A
Morris,Morris,public,False,False,0.0,0.0,853.0,41.3672,-88.4178,2A,2A,2A,,2A,1A,3A,3A,3A,2A,1A,2A,2A,3A,3A,2A,1A,2A,2A
Morrison,Morrison,public,False,False,0.0,0.0,276.0,41.8167,-89.969,,,,,,,1A,1A,1A,,,1A,1A,1A,1A,,,1A,1A
Morrisonville,Morrisonville,public,False,False,,,84.0,39.4153,-89.4541,,,,,,,,,,,,,,1A,,,,,
Morton,Morton,public,False,False,0.0,0.0,1050.0,40.6148,-89.4604,2A,2A,2A,2A,2A,1A,3A,3A,3A,2A,1A,2A,2A,3A,3A,2A,1A,2A,2A
Morton Grove (MCC Academy),Morton Grove,private,True,False,2.0,4.0,95.0,42.0431,-87.7899,,,,,1A,,1A,1A,1A,,,,,,,,,,
Mounds (Meridian),Mounds,public,False,False,0.0,0.0,121.0,37.1188,-89.2001,,,,,,,1A,1A,1A,,,,,,1A,,,1A,1A
Mount Carroll (West Carroll),Mount Carroll,public,False,False,,,236.0,42.1053,-89.9845,1A,,1A,1A,,,1A,1A,1A,,,1A,1A,1A,1A,,,1A,1A
Moweaqua (Central A & M),Moweaqua,public,False,False,0.0,0.0,206.0,39.6248,-89.019,1A,1A,1A,1A,,,1A,1A,1A,,,1A,,1A,1A,,,1A,1A
Mt. Carmel,Mount Carmel,public,False,False,0.0,0.0,452.0,38.4147,-87.7911,1A,1A,1A,1A,1A,1A,2A,2A,2A,,,,1A,2A,2A,1A,1A,2A,2A
Mt. Olive,Mount Olive,public,False,False,0.0,0.0,163.0,39.0705,-89.7448,,,1A,1A,,,1A,1A,1A,,,1A,,,,,,1A,1A
Mt. Prospect (Prospect),Mount Prospect,public,False,False,0.0,0.0,2152.0,42.0624,-87.9377,3A,3A,3A,2A,3A,2A,4A,4A,4A,3A,3A,2A,3A,4A,4A,3A,2A,3A,3A
